,support,time
count,283.0,1.0
mean,0.4590459363957597,0.12003302574157715
std,0.11282205915201558,
min,0.35,0.12003302574157715
25%,0.3795,0.12003302574157715
50%,0.419,0.12003302574157715
75%,0.5,0.12003302574157715
max,1.0,0.12003302574157715
