,support,time
count,15180.0,1.0
mean,0.1476626482213439,1.2659971714019775
std,0.06407991534430325,
min,0.1,1.2659971714019775
25%,0.11,1.2659971714019775
50%,0.127,1.2659971714019775
75%,0.16,1.2659971714019775
max,1.0,1.2659971714019775
