,support,time
count,96270.0,1.0
mean,0.07798158304767841,4.871448993682861
std,0.04117061100105265,
min,0.05,4.871448993682861
25%,0.055,4.871448993682861
50%,0.065,4.871448993682861
75%,0.084,4.871448993682861
max,1.0,4.871448993682861
