,support,time
count,4668.0,1.0
mean,0.21398393316195372,0.6274716854095459
std,0.08111773775444424,
min,0.15,0.6274716854095459
25%,0.164,0.6274716854095459
50%,0.186,0.6274716854095459
75%,0.233,0.6274716854095459
max,1.0,0.6274716854095459
