,support,time
count,168376.0,1.0
mean,0.06338128355585118,7.625749826431274
std,0.035456746465870936,
min,0.04,7.625749826431274
25%,0.044,7.625749826431274
50%,0.052,7.625749826431274
75%,0.068,7.625749826431274
max,1.0,7.625749826431274
