,support,time
count,4075488.0,1.0
mean,0.017126939399649738,94.84711074829102
std,0.013362675863618556,
min,0.01,94.84711074829102
25%,0.011,94.84711074829102
50%,0.013,94.84711074829102
75%,0.018,94.84711074829102
max,1.0,94.84711074829102
