,support,time
count,926.0,1.0
mean,0.3396695464362851,0.2534198760986328
std,0.10330632947412118,
min,0.25,0.2534198760986328
25%,0.271,0.2534198760986328
50%,0.305,0.2534198760986328
75%,0.37175,0.2534198760986328
max,1.0,0.2534198760986328
