,support,time
count,868211.0,1.0
mean,0.03319747388595627,28.54685091972351
std,0.02202027079612452,
min,0.02,28.54685091972351
25%,0.022,28.54685091972351
50%,0.027,28.54685091972351
75%,0.036,28.54685091972351
max,1.0,28.54685091972351
