,support,time
count,269028.0,1.0
mean,0.02277117869607219,11.693182706832886
std,0.025111676189248505,
min,0.0100340440781222,11.693182706832886
25%,0.012094606701308009,11.693182706832886
50%,0.015678193872065937,11.693182706832886
75%,0.023830854685540227,11.693182706832886
max,1.0,11.693182706832886
