,support,time
count,758.0,1.0
mean,0.3087600741112302,0.6156983375549316
std,0.12874631766663164,
min,0.20005375380756138,0.6156983375549316
25%,0.2237054291345637,0.6156983375549316
50%,0.25806307113420535,0.6156983375549316
75%,0.35800035835871713,0.6156983375549316
max,1.0,0.6156983375549316
