,support,time
count,496.0,1.0
mean,0.1029705564150273,0.12836956977844238
std,0.10888969013036437,
min,0.030298120544394038,0.12836956977844238
25%,0.04289533376539209,0.12836956977844238
50%,0.06505184705119896,0.12836956977844238
75%,0.1222051198963059,0.12836956977844238
max,1.0,0.12836956977844238
