,support,time
count,647.0,1.0
mean,0.08470471922357638,0.10385966300964355
std,0.10091986258635567,
min,0.020090732339598186,0.10385966300964355
25%,0.031108230719377836,0.10385966300964355
50%,0.04876863253402463,0.10385966300964355
75%,0.09729423201555412,0.10385966300964355
max,1.0,0.10385966300964355
