,support,time
count,26.0,1.0
mean,0.46301535470362426,0.08282995223999023
std,0.17898868376373897,
min,0.30055087491898896,0.08282995223999023
25%,0.3436082307193778,0.08282995223999023
50%,0.38634154244977315,0.08282995223999023
75%,0.5279082955281917,0.08282995223999023
max,1.0,0.08282995223999023
