,support,time
count,6230.0,1.0
mean,0.08957759873832344,1.4549460411071777
std,0.07499455355178979,
min,0.04000265357569325,1.4549460411071777
25%,0.04904692406350891,1.4549460411071777
50%,0.0647251337844412,1.4549460411071777
75%,0.10075848038565301,1.4549460411071777
max,1.0,1.4549460411071777
