,support,time
count,19628.0,1.0
mean,0.05309999091204512,0.6875114440917969
std,0.03863192484243412,
min,0.030405405405405407,0.6875114440917969
25%,0.033783783783783786,0.6875114440917969
50%,0.04054054054054054,0.6875114440917969
75%,0.057432432432432436,0.6875114440917969
max,1.0,0.6875114440917969
