,support,time
count,41.0,1.0
mean,0.4745385629531971,0.054147958755493164
std,0.13483094471205273,
min,0.35135135135135137,0.054147958755493164
25%,0.3885135135135135,0.054147958755493164
50%,0.4358108108108108,0.054147958755493164
75%,0.5,0.054147958755493164
max,1.0,0.054147958755493164
