,support,time
count,10905.0,1.0
mean,0.06908992899364289,0.44659972190856934
std,0.04588199708629574,
min,0.04054054054054054,0.44659972190856934
25%,0.04391891891891892,0.44659972190856934
50%,0.05405405405405406,0.44659972190856934
75%,0.07432432432432433,0.44659972190856934
max,1.0,0.44659972190856934
