support,itemsets,tn,fp,fn,tp,length,support_count,fpr,fnr,accuracy,error,d_fnr,d_fpr,d_accuracy,d_error,t_value_fp,t_value_fn,t_value_fp_fn,t_value_tp_tn
0.319,frozenset({'race/ethnicity=2'}),117,40,56,106,1,319.0,0.25477707006369427,0.345679012345679,0.6990595611285266,0.30094043887147337,0.09323282839264574,-0.058106365519127845,-0.018940438871473342,0.018940438871473342,1.3801825419781255,2.2555112427699475,0.6745238948005509,0.6745238948005527
0.316,"frozenset({'lunch=1', 'gender=1'})",92,59,41,124,2,316.0,0.39072847682119205,0.24848484848484848,0.6835443037974683,0.31645569620253167,-0.003961335468184779,0.07784504123836994,-0.03445569620253164,0.03445569620253164,1.7620073844291695,0.04961599482416241,1.1847535951311745,1.1847535951311765
0.308,"frozenset({'gender=1', 'test preparation course=1'})",149,43,46,70,2,308.0,0.22395833333333334,0.39655172413793105,0.711038961038961,0.288961038961039,0.1441055401848978,-0.08892510224948877,-0.006961038961038946,0.006961038961038946,2.3751244992015925,2.9687759709859844,0.26825076892120886,0.268250768921207
0.262,frozenset({'race/ethnicity=3'}),57,56,20,129,1,262.0,0.49557522123893805,0.1342281879194631,0.7099236641221374,0.29007633587786263,-0.11821799603357017,0.18269178565611593,-0.008076335877862606,0.008076335877862606,3.574564161190256,3.3632019446920918,0.29463946548518155,0.2946394654851798
0.227,"frozenset({'test preparation course=0', 'lunch=1'})",20,41,9,157,2,227.0,0.6721311475409836,0.05421686746987952,0.7797356828193832,0.2202643171806168,-0.19822931648315373,0.35924771195816146,0.06173568281938324,-0.06173568281938324,5.64579567610828,7.331775286301984,1.9330403242052967,1.9330403242052976
0.226,frozenset({'parental level of education=4'}),66,41,24,95,1,226.0,0.38317757009345793,0.20168067226890757,0.7123893805309734,0.28761061946902655,-0.050765511684125686,0.07029413451063582,-0.005610619469026523,0.005610619469026523,1.408188413144452,1.131169540628965,0.2121992333327227,0.2121992333327227
0.224,"frozenset({'lunch=0', 'test preparation course=1'})",148,16,33,27,2,224.0,0.0975609756097561,0.55,0.78125,0.21875,0.2975538160469668,-0.215322459973066,0.06325000000000003,-0.06325000000000003,6.720395611710572,4.498771773015639,1.9740130464887735,1.9740130464887735
0.222,frozenset({'parental level of education=0'}),56,41,28,97,1,222.0,0.422680412371134,0.224,0.6891891891891891,0.31081081081081086,-0.02844618395303325,0.1097969767883119,-0.028810810810810827,0.028810810810810827,2.0607951141973406,0.6000776139862235,0.8839090555144892,0.8839090555144892
0.215,"frozenset({'gender=0', 'lunch=1', 'test preparation course=1'})",52,40,37,86,3,215.0,0.43478260869565216,0.3008130081300813,0.641860465116279,0.35813953488372097,0.04836682417704807,0.12189917311283005,-0.07613953488372094,0.07613953488372094,2.2272645007288303,1.1180484401627986,2.1710906288427756,2.1710906288427756
0.205,"frozenset({'lunch=1', 'race/ethnicity=2'})",47,32,34,92,2,205.0,0.4050632911392405,0.2698412698412698,0.6780487804878049,0.3219512195121951,0.017395085888236572,0.09217985555641839,-0.039951219512195046,0.039951219512195046,1.6123292189306109,0.4584496102107301,1.1642455045553382,1.1642455045553382
0.203,"frozenset({'lunch=1', 'gender=1', 'test preparation course=1'})",77,34,34,58,3,203.0,0.3063063063063063,0.3695652173913043,0.6650246305418719,0.3349753694581281,0.11711903343827107,-0.006577129276515825,-0.052975369458128085,0.052975369458128085,0.08132317514749991,2.2363499959620885,1.5099990960475693,1.5099990960475678
0.202,"frozenset({'race/ethnicity=2', 'test preparation course=1'})",95,22,46,39,2,202.0,0.18803418803418803,0.5411764705882353,0.6633663366336634,0.3366336633663366,0.288730286635202,-0.12484924754863408,-0.05463366336633657,0.05463366336633657,2.888193240466612,5.0777479357581905,1.5512477131996594,1.5512477131996594
0.196,frozenset({'parental level of education=2'}),103,18,42,33,1,196.0,0.1487603305785124,0.56,0.6938775510204082,0.30612244897959184,0.3075538160469668,-0.1641231050043097,-0.024122448979591815,0.024122448979591815,4.122446979940612,5.134416376841448,0.7187159387964475,0.7187159387964475
0.19,frozenset({'race/ethnicity=1'}),91,20,35,44,1,190.0,0.18018018018018017,0.4430379746835443,0.7105263157894737,0.2894736842105263,0.19059179073051102,-0.13270325540264194,-0.007473684210526299,0.007473684210526299,3.0423081790877293,3.286247634862833,0.2587874380677673,0.2587874380677657
0.189,"frozenset({'gender=0', 'lunch=0'})",93,20,31,45,2,189.0,0.17699115044247787,0.40789473684210525,0.7301587301587301,0.2698412698412699,0.155448552889072,-0.13589228514034424,0.012158730158730147,-0.012158730158730147,3.1556453974436582,2.6778127194929677,0.2899045748618323,0.2899045748618339
0.184,"frozenset({'gender=0', 'test preparation course=0'})",22,29,12,121,2,184.0,0.5686274509803921,0.09022556390977443,0.7771739130434783,0.22282608695652173,-0.16222062004325882,0.25574401539757,0.0591739130434783,-0.0591739130434783,3.574222220091794,4.948758071357278,1.679471107311832,1.6794711073118314
0.18,"frozenset({'race/ethnicity=3', 'test preparation course=1'})",49,40,18,73,2,180.0,0.449438202247191,0.1978021978021978,0.6777777777777778,0.3222222222222222,-0.05464398615083546,0.1365547666643689,-0.04022222222222216,0.04022222222222216,2.4476961311585796,1.07232018660053,1.1158659811614184,1.1158659811614169
0.18,"frozenset({'gender=0', 'race/ethnicity=2'})",56,24,31,69,2,180.0,0.3,0.31,0.6944444444444444,0.3055555555555556,0.057553816046966744,-0.012883435582822123,-0.023555555555555552,0.023555555555555552,0.1603169119866955,1.2164493168354371,0.6833529039485533,0.6833529039485533
0.179,frozenset({'parental level of education=5'}),72,25,24,58,1,179.0,0.25773195876288657,0.2926829268292683,0.7262569832402235,0.2737430167597765,0.04023674287623502,-0.05515147681993554,0.008256983240223503,-0.008256983240223503,1.0470975561701834,0.8313899950663848,0.1716971191280025,0.17169711912800406
0.174,"frozenset({'test preparation course=0', 'gender=1'})",37,34,13,90,2,174.0,0.4788732394366197,0.1262135922330097,0.7298850574712644,0.2701149425287356,-0.12623259172002355,0.16598980385379758,0.011885057471264449,-0.011885057471264449,2.6861266906068457,3.1444924550437032,0.2669307005632057,0.2669307005632057
0.167,"frozenset({'race/ethnicity=3', 'lunch=1'})",23,37,15,92,2,167.0,0.6166666666666667,0.14018691588785046,0.688622754491018,0.31137724550898205,-0.1122592680651828,0.3037832310838446,-0.02937724550898202,0.02937724550898202,4.6157424516906245,2.7468984789939377,0.8135642815825258,0.8135642815825272
0.166,"frozenset({'lunch=0', 'gender=1'})",94,18,18,36,2,166.0,0.16071428571428573,0.3333333333333333,0.7831325301204819,0.2168674698795181,0.08088714938030006,-0.15216914986853639,0.06513253012048192,-0.06513253012048192,3.6235645315665823,1.309434680023555,1.7819871696380685,1.7819871696380685
0.149,"frozenset({'parental level of education=4', 'test preparation course=1'})",60,27,21,41,2,149.0,0.3103448275862069,0.3387096774193548,0.6778523489932886,0.3221476510067114,0.08626349346632156,-0.0025386079966152053,-0.04014765100671136,0.04014765100671136,0.018056011664477366,1.4580936521279289,1.0374813494412984,1.0374813494412984
0.147,"frozenset({'lunch=1', 'parental level of education=4'})",27,29,13,78,2,147.0,0.5178571428571429,0.14285714285714285,0.7142857142857143,0.2857142857142857,-0.1095890410958904,0.2049737072743208,-0.00371428571428567,0.00371428571428567,2.9793384283474533,2.4744227892759,0.15531224992602555,0.15531224992602555
0.145,"frozenset({'parental level of education=0', 'lunch=1'})",20,33,15,77,2,145.0,0.6226415094339622,0.16304347826086957,0.6689655172413793,0.3310344827586207,-0.08940270569216369,0.3097580738511401,-0.04903448275862066,0.04903448275862066,4.464773417202813,1.9318104791734874,1.2331719256733467,1.233171925673348
0.14,"frozenset({'parental level of education=0', 'test preparation course=1'})",49,25,24,42,2,140.0,0.33783783783783783,0.36363636363636365,0.65,0.35,0.11119017968333039,0.024954402255015717,-0.06799999999999995,0.06799999999999995,0.49093732729089223,1.86860487203429,1.6435169031037031,1.6435169031037031
0.14,"frozenset({'parental level of education=2', 'test preparation course=1'})",86,7,36,11,2,140.0,0.07526881720430108,0.7659574468085106,0.6928571428571428,0.30714285714285716,0.5135112628554774,-0.23761461837852105,-0.025142857142857133,0.025142857142857133,6.513237248876266,7.867260267759322,0.6656220461520012,0.6656220461520025
0.14,frozenset({'race/ethnicity=4'}),14,33,7,86,1,140.0,0.7021276595744681,0.07526881720430108,0.7142857142857143,0.2857142857142857,-0.1771773667487322,0.389244223991646,-0.00371428571428567,0.00371428571428567,5.554665124537087,4.9436608260569335,0.15558597391587192,0.15558597391587053
0.139,"frozenset({'race/ethnicity=2', 'gender=1'})",61,16,25,37,2,139.0,0.2077922077922078,0.4032258064516129,0.7050359712230215,0.29496402877697847,0.15077962249857962,-0.1050912277906143,-0.012964028776978442,0.012964028776978442,1.9502556229188768,2.39307021161012,0.37720152811640795,0.37720152811640795
0.133,"frozenset({'race/ethnicity=3', 'gender=1'})",37,28,12,56,2,133.0,0.4307692307692308,0.17647058823529413,0.6992481203007519,0.3007518796992481,-0.07597559571773913,0.11788579518640868,-0.018751879699248075,0.018751879699248075,1.8734307122926417,1.3544811869242543,0.5074067912090244,0.5074067912090244
0.131,"frozenset({'test preparation course=0', 'lunch=0'})",39,22,16,54,2,131.0,0.36065573770491804,0.22857142857142856,0.7099236641221374,0.29007633587786263,-0.02387475538160469,0.04777230212209593,-0.008076335877862606,0.008076335877862606,0.807270616641667,0.32470080561881043,0.258217698180865,0.2582176981808663
0.131,"frozenset({'race/ethnicity=2', 'lunch=1', 'test preparation course=1'})",43,20,31,37,3,131.0,0.31746031746031744,0.45588235294117646,0.6106870229007634,0.3893129770992366,0.2034361689881432,0.004576881877495331,-0.1073129770992366,0.1073129770992366,0.15398881745355658,3.277757973191083,2.4399047604400987,2.4399047604400987
0.129,"frozenset({'race/ethnicity=3', 'gender=0'})",20,28,8,73,2,129.0,0.5833333333333334,0.09876543209876543,0.7209302325581395,0.2790697674418605,-0.15368075185426783,0.27044989775051126,0.0029302325581395117,-0.0029302325581395117,3.6887029775051348,3.719838627010675,0.00018277104883395468,0.00018277104883395468
0.126,"frozenset({'parental level of education=2', 'lunch=1'})",60,10,35,21,2,126.0,0.14285714285714285,0.625,0.6428571428571429,0.3571428571428571,0.37255381604696675,-0.17002629272567926,-0.07514285714285707,0.07514285714285707,3.421441974031408,5.563234521682106,1.7261568234913383,1.7261568234913383
0.122,"frozenset({'race/ethnicity=1', 'test preparation course=1'})",73,8,25,16,2,122.0,0.09876543209876543,0.6097560975609756,0.7295081967213115,0.2704918032786885,0.35730991360794234,-0.21411800348405668,0.011508196721311537,-0.011508196721311537,5.148918579496726,4.611610163142629,0.19457232293285165,0.19457232293285165
0.121,"frozenset({'race/ethnicity=1', 'lunch=1'})",48,17,23,33,2,121.0,0.26153846153846155,0.4107142857142857,0.6694214876033058,0.3305785123966942,0.15826810176125244,-0.05134497404436056,-0.048578512396694196,0.048578512396694196,0.7799766129865658,2.3963191895850455,1.1397797188412375,1.1397797188412389
0.119,"frozenset({'lunch=0', 'gender=0', 'test preparation course=1'})",76,7,21,15,3,119.0,0.08433734939759036,0.5833333333333334,0.7647058823529411,0.23529411764705888,0.3308871493803001,-0.22854608618523176,0.04670588235294115,-0.04670588235294115,5.807426273200218,4.001459976442522,1.038525436532598,1.0385254365325987
0.118,"frozenset({'gender=0', 'lunch=1', 'race/ethnicity=2'})",19,20,17,62,3,118.0,0.5128205128205128,0.21518987341772153,0.6864406779661016,0.31355932203389836,-0.037256310535311726,0.19993707723769066,-0.03155932203389833,0.03155932203389833,2.4845129150657703,0.6268126739654539,0.7672846578764368,0.7672846578764368
0.118,frozenset({'parental level of education=1'}),29,18,9,62,1,118.0,0.3829787234042553,0.1267605633802817,0.7711864406779662,0.22881355932203384,-0.12568562057275157,0.0700952878214332,0.053186440677966185,-0.053186440677966185,1.0291428673499647,2.6259815501191293,1.197790095787125,1.1977900957871264
0.118,"frozenset({'race/ethnicity=3', 'lunch=1', 'test preparation course=1'})",21,27,15,55,3,118.0,0.5625,0.21428571428571427,0.6440677966101694,0.35593220338983056,-0.03816046966731898,0.2496165644171779,-0.07393220338983053,0.07393220338983053,3.3939043046330424,0.596299869524497,1.6553236699296712,1.65532366992967
0.118,"frozenset({'gender=0', 'parental level of education=4'})",18,28,6,66,2,118.0,0.6086956521739131,0.08333333333333333,0.711864406779661,0.288135593220339,-0.16911285061969994,0.29581221659109097,-0.006135593220338964,0.006135593220338964,3.9838006467859715,4.086982359121025,0.2112599098266426,0.21125990982664136
0.118,"frozenset({'parental level of education=5', 'lunch=1'})",32,20,14,52,2,118.0,0.38461538461538464,0.21212121212121213,0.711864406779661,0.288135593220339,-0.04032497183182113,0.07173194903256253,-0.006135593220338964,0.006135593220338964,1.0907648388900941,0.6137772981467069,0.2112599098266426,0.21125990982664136
0.117,"frozenset({'test preparation course=0', 'race/ethnicity=2'})",22,18,10,67,2,117.0,0.45,0.12987012987012986,0.7606837606837606,0.23931623931623935,-0.1225760540829034,0.1371165644171779,0.042683760683760674,-0.042683760683760674,1.7621161166677535,2.6428432304531064,0.9292068712200419,0.9292068712200412
0.116,"frozenset({'gender=0', 'parental level of education=0'})",35,13,21,47,2,116.0,0.2708333333333333,0.3088235294117647,0.7068965517241379,0.2931034482758621,0.056377345458731465,-0.0420501022494888,-0.011103448275862071,0.011103448275862071,0.5077760972608119,1.0434602553113024,0.3205682022007662,0.3205682022007662
0.114,"frozenset({'lunch=0', 'race/ethnicity=2'})",70,8,22,14,2,114.0,0.10256410256410256,0.6111111111111112,0.7368421052631579,0.26315789473684215,0.3586649271580779,-0.21031933301871955,0.018842105263157882,-0.018842105263157882,4.921851006145003,4.366124409522206,0.35081318668303973,0.35081318668303846
0.114,"frozenset({'gender=0', 'test preparation course=0', 'lunch=1'})",5,16,2,91,3,114.0,0.7619047619047619,0.021505376344086023,0.8421052631578947,0.1578947368421053,-0.23094080760894722,0.44902132632193975,0.12410526315789472,-0.12410526315789472,4.622767798295497,8.465642725921741,3.2022171843097924,3.202217184309791
0.113,"frozenset({'test preparation course=0', 'lunch=1', 'gender=1'})",15,25,7,66,3,113.0,0.625,0.0958904109589041,0.7168141592920354,0.2831858407079646,-0.15655577299412915,0.3121165644171779,-0.0011858407079645694,0.0011858407079645694,3.968633605102096,3.6437829228876955,0.10197291211141725,0.10197291211141725
0.111,"frozenset({'gender=0', 'race/ethnicity=2', 'test preparation course=1'})",49,12,26,24,3,111.0,0.19672131147540983,0.52,0.6576576576576577,0.3423423423423423,0.26755381604696676,-0.11616212410741228,-0.06034234234234226,0.06034234234234226,1.9601193206813654,3.730240127472729,1.3414033304566173,1.3414033304566173
0.108,"frozenset({'parental level of education=4', 'gender=1'})",48,13,18,29,2,108.0,0.21311475409836064,0.3829787234042553,0.7129629629629629,0.2870370370370371,0.13053253945122206,-0.09976868148446147,-0.005037037037037062,0.005037037037037062,1.6319982081200894,1.8782264787040057,0.1866834340847927,0.1866834340847927
0.106,"frozenset({'parental level of education=0', 'gender=1'})",21,28,7,50,2,106.0,0.5714285714285714,0.12280701754385964,0.6698113207547169,0.33018867924528306,-0.1296391664091736,0.2585451358457493,-0.04818867924528303,0.04818867924528303,3.5514768803676615,2.4452516426708275,1.075229964844699,1.0752299648447003
0.105,"frozenset({'lunch=0', 'gender=1', 'test preparation course=1'})",72,9,12,12,3,105.0,0.1111111111111111,0.5,0.8,0.19999999999999996,0.24755381604696675,-0.201772324471711,0.08200000000000007,-0.08200000000000007,4.686223901905601,2.513159098311635,1.8555009982265003,1.8555009982264996
0.104,"frozenset({'race/ethnicity=1', 'gender=0'})",42,12,22,28,2,104.0,0.2222222222222222,0.44,0.6730769230769231,0.32692307692307687,0.18755381604696675,-0.0906612133605999,-0.04492307692307684,0.04492307692307684,1.3650728092720952,2.6654708116858377,1.002506273876638,1.002506273876639
0.102,"frozenset({'parental level of education=2', 'gender=1'})",56,11,19,16,2,102.0,0.16417910447761194,0.5428571428571428,0.7058823529411765,0.2941176470588235,0.29041095890410956,-0.14870433110521017,-0.012117647058823455,0.012117647058823455,2.800294365258751,3.455683812608169,0.33388672147100196,0.3338867214710032
0.102,"frozenset({'parental level of education=5', 'test preparation course=1'})",47,15,15,25,2,102.0,0.24193548387096775,0.375,0.7058823529411765,0.2941176470588235,0.12255381604696675,-0.07094795171185436,-0.012117647058823455,0.012117647058823455,1.1042267011378046,1.6671756713086414,0.33388672147100196,0.3338867214710032
0.099,"frozenset({'race/ethnicity=4', 'lunch=1'})",2,26,2,69,2,99.0,0.9285714285714286,0.028169014084507043,0.7171717171717171,0.2828282828282829,-0.22427716986852622,0.6156879929886065,-0.0008282828282828447,0.0008282828282828447,10.144644773123721,7.074787225780058,0.09986837564198055,0.09986837564198173
0.096,"frozenset({'lunch=1', 'parental level of education=4', 'test preparation course=1'})",27,22,13,34,3,96.0,0.4489795918367347,0.2765957446808511,0.6354166666666666,0.36458333333333337,0.02414956072781782,0.13609615625391258,-0.08258333333333334,0.08258333333333334,1.9046688006765689,0.4842576784805327,1.681647469666625,1.6816474696666242
0.095,"frozenset({'race/ethnicity=3', 'lunch=0'})",34,19,5,37,2,95.0,0.3584905660377358,0.11904761904761904,0.7473684210526316,0.25263157894736843,-0.1333985649054142,0.045607130454913714,0.0293684210526316,-0.0293684210526316,0.7395067126512123,2.142292888316832,0.5322471978548247,0.5322471978548247
0.095,"frozenset({'race/ethnicity=3', 'gender=1', 'test preparation course=1'})",33,19,11,32,3,95.0,0.36538461538461536,0.2558139534883721,0.6842105263157895,0.3157894736842105,0.0033677695353388493,0.05250117980179325,-0.03378947368421048,0.03378947368421048,0.8294053798436383,0.19503113953682924,0.7550836002850033,0.7550836002850033
0.094,"frozenset({'parental level of education=2', 'lunch=1', 'test preparation course=1'})",53,3,31,7,3,94.0,0.05357142857142857,0.8157894736842105,0.6382978723404256,0.36170212765957444,0.5633432897311772,-0.25931200701139356,-0.0797021276595744,0.0797021276595744,6.263895446796737,8.364119423709447,1.614062917137645,1.6140629171376462
