support,itemsets,tn,fp,fn,tp,length,support_count,fpr,fnr,accuracy,error,d_fnr,d_fpr,d_accuracy,d_error,t_value_fp,t_value_fn,t_value_fp_fn,t_value_tp_tn
0.076,"frozenset({'gender=0', 'parental level of education=4', 'test preparation course=1'})",16,22,5,33,3,76.0,0.5789473684210527,0.13157894736842105,0.6447368421052632,0.35526315789473684,-0.12086723658461221,0.26606393283823054,-0.07326315789473681,0.07326315789473681,3.2674631253530104,1.753530640043775,1.371400685638924,1.371400685638923
0.075,"frozenset({'parental level of education=2', 'gender=1', 'test preparation course=1'})",46,6,16,7,3,75.0,0.11538461538461539,0.6956521739130435,0.7066666666666667,0.29333333333333333,0.4432059899600102,-0.19749882019820672,-0.011333333333333306,0.011333333333333306,3.688500565664423,4.563734870120844,0.30269854938765506,0.30269854938765506
0.074,"frozenset({'lunch=1', 'gender=0', 'parental level of education=4'})",3,18,1,52,3,74.0,0.8571428571428571,0.018867924528301886,0.7432432432432432,0.2567567567567568,-0.23357825942473137,0.5442594215600349,0.02524324324324323,-0.02524324324324323,6.3936981871967555,6.884958701003686,0.3696025907201739,0.3696025907201728
0.074,"frozenset({'gender=0', 'parental level of education=0', 'test preparation course=1'})",33,6,20,15,3,74.0,0.15384615384615385,0.5714285714285714,0.6486486486486487,0.3513513513513513,0.31898238747553814,-0.15903728173666826,-0.06935135135135129,0.06935135135135129,2.3157647927058873,3.8021946186521736,1.2921322711330614,1.2921322711330614
0.074,"frozenset({'lunch=1', 'parental level of education=1'})",9,16,3,46,2,74.0,0.64,0.061224489795918366,0.7432432432432432,0.2567567567567568,-0.19122169415711487,0.3271165644171779,0.02524324324324323,-0.02524324324324323,3.374930933273705,4.1731978101227165,0.3696025907201739,0.3696025907201728
0.074,"frozenset({'test preparation course=0', 'lunch=1', 'race/ethnicity=2'})",4,12,3,55,3,74.0,0.75,0.05172413793103448,0.7972972972972973,0.20270270270270274,-0.20072204602199878,0.4371165644171779,0.07929729729729729,-0.07929729729729729,3.8962716568933096,5.012275384272068,1.480042146882075,1.480042146882075
0.073,"frozenset({'parental level of education=4', 'gender=1', 'test preparation course=1'})",44,5,16,8,3,73.0,0.10204081632653061,0.6666666666666666,0.7123287671232876,0.28767123287671237,0.4142204827136334,-0.2108426192562915,-0.00567123287671234,0.00567123287671234,3.972910650873517,4.2806513148528245,0.20135149112625558,0.20135149112625558
0.073,"frozenset({'lunch=1', 'parental level of education=4', 'gender=1'})",24,11,12,26,3,73.0,0.3142857142857143,0.3157894736842105,0.684931506849315,0.31506849315068497,0.06334328973117725,0.001402278702892168,-0.03306849315068494,0.03306849315068494,0.13557226965474048,0.9466645297534414,0.6785022046996438,0.6785022046996428
0.072,"frozenset({'parental level of education=1', 'test preparation course=1'})",25,10,6,31,2,72.0,0.2857142857142857,0.16216216216216217,0.7777777777777778,0.2222222222222222,-0.09028402179087108,-0.027169149868536413,0.05977777777777782,-0.05977777777777782,0.21220463410352938,1.1616242195054012,1.0413879104640278,1.0413879104640285
0.072,"frozenset({'gender=0', 'race/ethnicity=2', 'lunch=1', 'test preparation course=1'})",19,12,17,24,4,72.0,0.3870967741935484,0.4146341463414634,0.5972222222222222,0.4027777777777778,0.16218796238843014,0.07421333861072626,-0.12077777777777776,0.12077777777777776,0.9296575613388376,2.1507568153909586,2.1039521778721118,2.103952177872111
0.071,"frozenset({'race/ethnicity=4', 'gender=1'})",4,22,2,43,2,71.0,0.8461538461538461,0.044444444444444446,0.6619718309859155,0.3380281690140845,-0.2080017395085888,0.533270410571024,-0.05602816901408447,0.05602816901408447,6.849682759716743,4.7204163216798145,1.0538059934797799,1.053805993479781
0.071,"frozenset({'lunch=0', 'race/ethnicity=2', 'test preparation course=1'})",52,2,15,2,3,71.0,0.037037037037037035,0.8823529411764706,0.7605633802816901,0.23943661971830987,0.6299067572234374,-0.2758463985457851,0.042563380281690155,-0.042563380281690155,7.139279380129545,7.028070105337948,0.6885242295286981,0.6885242295286981
0.07,"frozenset({'parental level of education=2', 'lunch=0'})",43,8,7,12,2,70.0,0.1568627450980392,0.3684210526315789,0.7857142857142857,0.2142857142857143,0.11597486867854567,-0.1560206904847829,0.06771428571428573,-0.06771428571428573,2.605197558539338,1.2112473628572402,1.1878083494561624,1.1878083494561624
0.07,"frozenset({'gender=0', 'test preparation course=0', 'lunch=0'})",17,13,10,30,3,70.0,0.43333333333333335,0.25,0.6714285714285714,0.3285714285714286,-0.002446183953033254,0.12044989775051124,-0.0465714285714286,0.0465714285714286,1.3939178880947145,0.12178730146729601,0.8933360486472521,0.8933360486472531
0.069,"frozenset({'parental level of education=2', 'lunch=1', 'gender=1'})",37,5,18,9,3,69.0,0.11904761904761904,0.6666666666666666,0.6666666666666666,0.33333333333333337,0.4142204827136334,-0.19383581653520307,-0.05133333333333334,0.05133333333333334,3.2076404087379933,4.5205092019502064,0.9663010139203096,0.9663010139203096
0.069,"frozenset({'race/ethnicity=1', 'lunch=0'})",43,3,12,11,2,69.0,0.06521739130434782,0.5217391304347826,0.782608695652174,0.21739130434782605,0.26929294648174934,-0.24766604427847427,0.06460869565217398,-0.06460869565217398,5.15444921125558,2.670151674704176,1.1138022717091818,1.1138022717091813
0.069,"frozenset({'parental level of education=4', 'race/ethnicity=2'})",21,12,8,28,2,69.0,0.36363636363636365,0.2222222222222222,0.7101449275362319,0.28985507246376807,-0.030223961730811044,0.050752928053541535,-0.007855072463768042,0.007855072463768042,0.6944782430932547,0.23426195727740332,0.23977811622932582,0.23977811622932682
0.069,"frozenset({'race/ethnicity=4', 'gender=0'})",10,11,5,43,2,69.0,0.5238095238095238,0.10416666666666667,0.7681159420289855,0.23188405797101452,-0.14827951728636657,0.21092608822670172,0.050115942028985505,-0.050115942028985505,1.9991882548100506,2.7015693459237298,0.8227486165433799,0.8227486165433794
0.069,"frozenset({'race/ethnicity=1', 'gender=0', 'test preparation course=1'})",34,5,18,12,3,69.0,0.1282051282051282,0.6,0.6666666666666666,0.33333333333333337,0.3475538160469667,-0.18467830737769392,-0.05133333333333334,0.05133333333333334,2.864207404975334,3.884197457522776,0.9663010139203096,0.9663010139203096
0.069,"frozenset({'gender=0', 'test preparation course=0', 'race/ethnicity=2'})",7,12,5,45,3,69.0,0.631578947368421,0.1,0.7536231884057971,0.24637681159420288,-0.15244618395303325,0.3186955117855989,0.035623188405797146,-0.035623188405797146,2.891335354768319,2.8818483439284175,0.5434707499259148,0.5434707499259148
0.068,"frozenset({'race/ethnicity=1', 'test preparation course=0'})",18,12,10,28,2,68.0,0.4,0.2631578947368421,0.6764705882352942,0.32352941176470584,0.010711710783808837,0.08711656441717791,-0.041529411764705815,0.041529411764705815,1.052120942903141,0.29849613788852314,0.8020037213838653,0.8020037213838663
0.067,"frozenset({'race/ethnicity=3', 'parental level of education=4'})",17,14,6,30,2,67.0,0.45161290322580644,0.16666666666666666,0.7014925373134329,0.29850746268656714,-0.0857795172863666,0.13872946764298433,-0.01650746268656711,0.01650746268656711,1.6026129876928519,1.0650890148440901,0.38576335172667964,0.38576335172667964
0.066,"frozenset({'parental level of education=0', 'gender=1', 'test preparation course=1'})",16,19,4,27,3,66.0,0.5428571428571428,0.12903225806451613,0.6515151515151515,0.3484848484848485,-0.12341392588851713,0.2299737072743207,-0.06648484848484848,0.06648484848484848,2.717111284617802,1.5818859325856174,1.1897618680746893,1.1897618680746884
0.065,"frozenset({'parental level of education=0', 'lunch=1', 'gender=1'})",3,23,0,39,3,65.0,0.8846153846153846,0.0,0.6461538461538462,0.3538461538461538,-0.25244618395303325,0.5717319490325625,-0.07184615384615378,0.07184615384615378,7.9617392501675,7.4912402116374,1.2659120439738858,1.2659120439738867
0.065,"frozenset({'gender=0', 'parental level of education=2', 'test preparation course=1'})",40,1,20,4,3,65.0,0.024390243902439025,0.8333333333333334,0.676923076923077,0.32307692307692304,0.5808871493803001,-0.28849319168038307,-0.04107692307692301,0.04107692307692301,7.026289210973981,7.084728369234046,0.7823816470967898,0.7823816470967889
0.065,"frozenset({'race/ethnicity=1', 'gender=0', 'lunch=1'})",23,9,15,18,3,65.0,0.28125,0.45454545454545453,0.6307692307692307,0.36923076923076925,0.20209927059242128,-0.03163343558282211,-0.08723076923076922,0.08723076923076922,0.24468668653830253,2.390809363171312,1.502944709470504,1.502944709470503
0.064,"frozenset({'lunch=1', 'race/ethnicity=3', 'gender=1', 'test preparation course=1'})",17,12,11,24,4,64.0,0.41379310344827586,0.3142857142857143,0.640625,0.359375,0.061839530332681025,0.10090966786545374,-0.07737499999999997,0.07737499999999997,1.1784226810528269,0.9053639390524038,1.342973896100261,1.342973896100261
0.064,"frozenset({'parental level of education=2', 'race/ethnicity=2'})",42,1,20,1,2,64.0,0.023255813953488372,0.9523809523809523,0.671875,0.328125,0.6999347684279191,-0.28962762162933375,-0.04612499999999997,0.04612499999999997,7.297630929563905,10.879317624689246,0.8580342257172896,0.8580342257172906
0.064,"frozenset({'parental level of education=5', 'lunch=1', 'test preparation course=1'})",19,13,9,23,3,64.0,0.40625,0.28125,0.65625,0.34375,0.028803816046966746,0.09336656441717789,-0.06174999999999997,0.06174999999999997,1.1438650115041467,0.5128571362069401,1.102243608060831,1.102243608060831
0.063,"frozenset({'gender=0', 'parental level of education=1'})",10,8,5,40,2,63.0,0.4444444444444444,0.1111111111111111,0.7936507936507936,0.2063492063492064,-0.14133507284192215,0.1315610088616223,0.07565079365079364,-0.07565079365079364,1.233319449723846,2.425427793944996,1.2756896020333575,1.2756896020333575
0.063,"frozenset({'parental level of education=5', 'lunch=1', 'gender=1'})",22,10,8,23,3,63.0,0.3125,0.25806451612903225,0.7142857142857143,0.2857142857142857,0.005618332175998997,-0.00038343558282211143,-0.00371428571428567,0.00371428571428567,0.12083420508929647,0.24527702060795223,0.17092019529301175,0.1709201952930108
0.062,"frozenset({'race/ethnicity=3', 'lunch=0', 'test preparation course=1'})",28,13,3,18,3,62.0,0.3170731707317073,0.14285714285714285,0.7419354838709677,0.25806451612903225,-0.1095890410958904,0.00418973514888521,0.023935483870967778,-0.023935483870967778,0.16200647820769684,0.9973016649980949,0.29701957254121086,0.29701957254121086
0.062,"frozenset({'lunch=0', 'gender=0', 'race/ethnicity=2'})",37,4,14,7,3,62.0,0.0975609756097561,0.6666666666666666,0.7096774193548387,0.29032258064516125,0.4142204827136334,-0.215322459973066,-0.008322580645161226,0.008322580645161226,3.748019029485616,4.024031666755635,0.2471534475773506,0.2471534475773506
0.061,"frozenset({'lunch=0', 'test preparation course=0', 'gender=1'})",22,9,6,24,3,61.0,0.2903225806451613,0.2,0.7540983606557377,0.24590163934426235,-0.05244618395303324,-0.0225608549376608,0.03609836065573768,-0.03609836065573768,0.13017929581781182,0.46539616211110935,0.5062025723315196,0.5062025723315196
0.061,"frozenset({'parental level of education=5', 'lunch=0'})",40,5,10,6,2,61.0,0.1111111111111111,0.625,0.7540983606557377,0.24590163934426235,0.37255381604696675,-0.201772324471711,0.03609836065573768,-0.03609836065573768,3.5417246691003275,3.1522799583025147,0.5062025723315196,0.5062025723315196
0.06,"frozenset({'race/ethnicity=4', 'test preparation course=0'})",1,13,1,45,2,60.0,0.9285714285714286,0.021739130434782608,0.7666666666666667,0.23333333333333328,-0.23070705351825066,0.6156879929886065,0.04866666666666675,-0.04866666666666675,6.771977398869968,6.1563272389709995,0.7258498306763449,0.7258498306763449
0.059,"frozenset({'lunch=1', 'race/ethnicity=2', 'gender=1', 'test preparation course=1'})",24,8,14,13,4,59.0,0.25,0.5185185185185185,0.6271186440677966,0.3728813559322034,0.26607233456548524,-0.06288343558282211,-0.09088135593220337,0.09088135593220337,0.6318834169970614,2.829937049492577,1.4977598180780423,1.4977598180780423
0.059,"frozenset({'race/ethnicity=4', 'lunch=1', 'test preparation course=1'})",1,19,1,38,3,59.0,0.95,0.02564102564102564,0.6610169491525424,0.3389830508474576,-0.22680515831200762,0.6371165644171779,-0.056983050847457584,0.056983050847457584,9.378789813837326,5.331990618677904,0.9973264943581183,0.9973264943581192
0.059,frozenset({'parental level of education=3'}),10,10,2,37,1,59.0,0.5,0.05128205128205128,0.7966101694915254,0.2033898305084746,-0.201164132670982,0.1871165644171779,0.07861016949152544,-0.07861016949152544,1.7525232685105747,4.047778457233235,1.285730051917318,1.2857300519173176
0.058,"frozenset({'race/ethnicity=0', 'test preparation course=1'})",47,0,9,2,2,58.0,0.0,0.8181818181818182,0.8448275862068966,0.15517241379310343,0.5657356342287849,-0.3128834355828221,0.1268275862068966,-0.1268275862068966,10.133480076288468,4.515757174865951,2.325190035379634,2.3251900353796344
0.057,"frozenset({'gender=0', 'parental level of education=2', 'lunch=1'})",23,5,17,12,3,57.0,0.17857142857142858,0.5862068965517241,0.6140350877192983,0.38596491228070173,0.33376071259869083,-0.13431200701139354,-0.1039649122807017,0.1039649122807017,1.5188114667738803,3.6637775571159015,1.6638078282046749,1.6638078282046742
0.056,"frozenset({'gender=0', 'parental level of education=5', 'test preparation course=1'})",25,7,10,14,3,56.0,0.21875,0.4166666666666667,0.6964285714285714,0.3035714285714286,0.16422048271363343,-0.09413343558282211,-0.021571428571428575,0.021571428571428575,1.0490387909436518,1.7492056514737409,0.450995953007664,0.4509959530076631
0.056,"frozenset({'race/ethnicity=1', 'lunch=1', 'gender=1'})",25,8,8,15,3,56.0,0.24242424242424243,0.34782608695652173,0.7142857142857143,0.2857142857142857,0.09537990300348848,-0.07045919315857968,-0.00371428571428567,0.00371428571428567,0.7455470519641977,1.109479355624015,0.17505947029379068,0.1750594702937916
0.056,"frozenset({'parental level of education=2', 'test preparation course=0'})",17,11,6,22,2,56.0,0.39285714285714285,0.21428571428571427,0.6964285714285714,0.3035714285714286,-0.03816046966731898,0.07997370727432074,-0.021571428571428575,0.021571428571428575,0.9548200043765668,0.25626067800475316,0.450995953007664,0.4509959530076631
0.056,"frozenset({'parental level of education=0', 'lunch=1', 'race/ethnicity=2'})",11,9,10,26,3,56.0,0.45,0.2777777777777778,0.6607142857142857,0.3392857142857143,0.025331593824744536,0.1371165644171779,-0.05728571428571427,0.05728571428571427,1.3303524700678415,0.48011128002154674,0.982681730306826,0.982681730306826
0.055,"frozenset({'gender=0', 'parental level of education=5', 'lunch=1'})",10,10,6,29,3,55.0,0.5,0.17142857142857143,0.7090909090909091,0.2909090909090909,-0.08101761252446182,0.1871165644171779,-0.008909090909090867,0.008909090909090867,1.7525232685105747,0.9676532800473525,0.25612305785452716,0.2561230578545281
0.055,"frozenset({'parental level of education=1', 'gender=1'})",19,10,4,22,2,55.0,0.3448275862068966,0.15384615384615385,0.7454545454545455,0.2545454545454545,-0.0986000301068794,0.03194415062407446,0.02745454545454551,-0.02745454545454551,0.4727800001176219,1.0159856933154665,0.3237579987928785,0.32375799879287753
0.054,"frozenset({'race/ethnicity=3', 'gender=0', 'lunch=1', 'test preparation course=1'})",4,15,4,31,4,54.0,0.7894736842105263,0.11428571428571428,0.6481481481481481,0.35185185185185186,-0.13816046966731899,0.4765902486277042,-0.06985185185185183,0.06985185185185183,4.810470638117098,2.015507293820399,1.1486720256887133,1.1486720256887124
0.054,"frozenset({'test preparation course=0', 'parental level of education=5', 'lunch=1'})",13,7,5,29,3,54.0,0.35,0.14705882352941177,0.7777777777777778,0.2222222222222222,-0.10538736042362148,0.037116564417177866,0.05977777777777782,-0.05977777777777782,0.48789152298656113,1.3511305641818325,0.871615581876746,0.871615581876747
0.053,"frozenset({'race/ethnicity=4', 'lunch=1', 'gender=1'})",1,18,1,33,3,53.0,0.9473684210526315,0.029411764705882353,0.6415094339622641,0.3584905660377359,-0.2230344192471509,0.6344849854698094,-0.07649056603773585,0.07649056603773585,8.958093560599018,4.6815288910822,1.233399045251833,1.233399045251833
0.053,"frozenset({'lunch=0', 'parental level of education=4', 'test preparation course=1'})",33,5,8,7,3,53.0,0.13157894736842105,0.5333333333333333,0.7547169811320755,0.24528301886792447,0.28088714938030007,-0.18130448821440107,0.036716981132075555,-0.036716981132075555,2.7476118079115195,2.3154179114831552,0.4654431574749307,0.4654431574749307
0.053,"frozenset({'parental level of education=0', 'test preparation course=0', 'lunch=1'})",0,12,0,41,3,53.0,1.0,0.0,0.7735849056603774,0.2264150943396226,-0.25244618395303325,0.6871165644171779,0.05558490566037744,-0.05558490566037744,8.821354191355484,7.739516690928127,0.7872076973554687,0.7872076973554691
0.053,"frozenset({'race/ethnicity=1', 'gender=1', 'test preparation course=1'})",39,3,7,4,3,53.0,0.07142857142857142,0.6363636363636364,0.8113207547169812,0.18867924528301883,0.3839174524106031,-0.2414548641542507,0.0933207547169812,-0.0933207547169812,4.670758635379716,2.7540823163383052,1.4904185042145612,1.4904185042145623
0.053,"frozenset({'race/ethnicity=0', 'gender=1'})",35,3,7,8,2,53.0,0.07894736842105263,0.4666666666666667,0.8113207547169812,0.18867924528301883,0.21422048271363342,-0.23393606716176948,0.0933207547169812,-0.0933207547169812,4.163859349475666,1.8219366532401728,1.4904185042145612,1.4904185042145623
0.053,"frozenset({'lunch=1', 'race/ethnicity=0'})",29,3,6,15,2,53.0,0.09375,0.2857142857142857,0.8301886792452831,0.16981132075471694,0.033268101761252444,-0.2191334355828221,0.11218867924528308,-0.11218867924528308,3.3596499136651428,0.5313457811458707,1.8819258613830903,1.8819258613830914
0.052,"frozenset({'lunch=0', 'race/ethnicity=2', 'gender=1'})",33,4,8,7,3,52.0,0.10810810810810811,0.5333333333333333,0.7692307692307693,0.23076923076923073,0.28088714938030007,-0.204775327474714,0.0512307692307693,-0.0512307692307693,3.2620084389222694,2.3154179114831552,0.7022187237410442,0.7022187237410447
0.051,"frozenset({'lunch=1', 'test preparation course=0', 'parental level of education=4'})",0,7,0,44,3,51.0,1.0,0.0,0.8627450980392157,0.13725490196078427,-0.25244618395303325,0.6871165644171779,0.14474509803921576,-0.14474509803921576,5.664168025128104,8.08757560344911,2.591060314944003,2.5910603149440035
0.051,"frozenset({'race/ethnicity=3', 'gender=0', 'lunch=0'})",16,10,4,21,3,51.0,0.38461538461538464,0.16,0.7254901960784313,0.27450980392156865,-0.09244618395303325,0.07173194903256253,0.007490196078431377,-0.007490196078431377,0.8510784195867114,0.8991869110599342,0.00927641704792097,0.00927641704792185
0.051,"frozenset({'lunch=1', 'parental level of education=2', 'gender=1', 'test preparation course=1'})",31,2,15,3,4,51.0,0.06060606060606061,0.8333333333333334,0.6666666666666666,0.33333333333333337,0.5808871493803001,-0.2522773749767615,-0.05133333333333334,0.05133333333333334,4.457760437858299,6.115969133914646,0.8665395125698266,0.8665395125698275
0.05,"frozenset({'gender=0', 'parental level of education=0', 'lunch=1', 'test preparation course=1'})",17,5,15,13,4,50.0,0.22727272727272727,0.5357142857142857,0.6,0.4,0.28326810176125244,-0.08561070831009485,-0.118,0.118,0.7143736624516791,3.0547897102890182,1.7626192433773802,1.7626192433773802
0.05,"frozenset({'race/ethnicity=3', 'parental level of education=0'})",6,12,1,31,2,50.0,0.6666666666666666,0.03125,0.74,0.26,-0.22119618395303325,0.3537832310838445,0.02200000000000002,-0.02200000000000002,3.1682409920636476,4.406668645196885,0.21105403553195703,0.21105403553195615
0.05,"frozenset({'race/ethnicity=3', 'parental level of education=5'})",10,11,3,26,2,50.0,0.5238095238095238,0.10344827586206896,0.72,0.28,-0.1489979080909643,0.21092608822670172,0.0020000000000000018,-0.0020000000000000018,1.9991882548100506,1.9967728101380078,0.0944080940661643,0.0944080940661643
