,support,time
count,201.0,1.0
mean,0.27860696517412936,0.935523271560669
std,0.09078096729625533,
min,0.24626,0.935523271560669
25%,0.24928,0.935523271560669
50%,0.25018,0.935523271560669
75%,0.25102,0.935523271560669
max,1.0,0.935523271560669
